Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
*Total,*Total,"2,065,424","2,228,261","2,062,634","1,954,605","1,995,353","2,144,621","2,275,417","2,228,762","2,496,488","2,448,563","2,468,347","2,478,973","2,710,350"
Africa North,*Total Africa North,"79,138","87,720","78,194","79,734","80,331","87,854","73,838","81,000","94,654","90,545","83,540","81,839","80,532"
Africa Sub-Saharan,*Total Africa Sub-Saharan,"312,395","275,701","257,988","240,565","316,245","332,960","340,493","322,737","316,422","298,217","289,329","236,076","258,073"
America North,*Total America North,"42,403","44,124","44,730","47,159","46,587","49,713","47,355","45,250","49,181","48,595","48,370","45,438","46,030"
America Central and South,*Total America Central and South,"59,612","60,907","62,848","59,685","56,535","56,986","53,613","54,492","58,077","69,800","73,813","66,161","72,351"
Asia Central,*Total Asia Central,"18,531","23,862","26,359","22,582","21,828","22,289","24,891","24,793","25,496","25,582","22,980","19,368","22,196"
Asia East,*Total Asia East,"195,703","229,295","234,579","206,939","194,931","247,960","300,234","321,271","410,782","450,758","528,730","618,746","693,422"
Asia South,*Total Asia South,"594,374","688,303","621,755","568,849","583,488","595,578","597,874","518,176","535,592","540,326","566,378","585,985","655,170"
Asia South East,*Total Asia South East,"121,080","128,449","134,248","134,630","137,946","149,295","163,300","168,241","186,567","195,186","199,525","220,169","244,591"
EU 14,*Total EU 14,47,35,45,43,17,17,17,12,13,4,5,6,22
EU 2,*Total EU 2,"61,675","65,284",64,54,45,28,25,18,21,10,2,1,20
EU 8,*Total EU 8,69,66,70,50,23,17,14,13,4,7,10,7,9
EU Other,*Total EU Other,"17,779","4,199","1,504","1,322",951,919,751,796,476,250,236,285,38
Europe Other,*Total Europe Other,"300,137","332,978","335,565","310,228","280,971","315,166","358,207","374,888","428,015","388,474","311,109","311,949","366,952"
Middle East,*Total Middle East,"199,956","226,515","209,427","235,446","235,482","248,566","279,445","285,947","358,526","305,742","306,450","257,477","237,216"
Oceania,*Total Oceania,"50,400","49,568","43,917","37,083","31,597","30,258","29,205","25,342","26,767","28,740","31,662","28,830","26,708"
Other,*Total Other,"12,125","11,255","11,341","10,236","8,376","7,015","6,155","5,786","5,895","6,327","6,208","6,636","7,020"
Asia Central,Afghanistan,"3,699","5,448","6,230","4,400","4,404","4,150","4,884","3,390","2,853","3,106","2,829","2,474","2,651"
